episode,timestep,reward,cost
1,2000,0.3852,-20.0
3,4000,0.0591,-148.0
5,6000,0.1502,-143.5
7,8000,0.4892,-88.0
9,10000,1.5642,-5.5
11,12000,1.4489,-93.0
13,14000,2.4108,-84.0
15,16000,0.683,-129.0
17,18000,1.8902,-88.0
19,20000,4.1588,0.0
21,22000,2.582,-32.0
23,24000,3.3294,-147.5
25,26000,4.8512,-127.0
27,28000,3.3849,-49.0
29,30000,4.0868,0.0
31,32000,4.3107,-21.0
33,34000,3.434,-63.5
35,36000,3.0493,0.0
37,38000,4.0506,-22.0
39,40000,4.928,-83.5
41,42000,3.1372,0.0
43,44000,3.0445,-15.5
45,46000,4.9167,-95.5
47,48000,6.0276,-13.5
49,50000,7.6322,0.0
51,52000,3.9596,-31.5
53,54000,6.142,-29.5
55,56000,5.5606,-66.5
57,58000,7.4727,-119.0
59,60000,9.136,-60.0
61,62000,8.888,-56.0
63,64000,6.5001,-123.5
65,66000,5.598,0.0
67,68000,9.7256,-53.5
69,70000,9.3211,-37.5
71,72000,8.9007,-24.5
73,74000,6.8413,-101.0
75,76000,7.9812,-56.5
77,78000,12.8444,-35.5
79,80000,9.8165,0.0
81,82000,11.5463,-41.5
83,84000,11.9881,-30.0
85,86000,10.7636,-78.0
87,88000,8.9338,-42.0
89,90000,10.5438,-91.5
91,92000,13.4011,-94.0
93,94000,12.0135,-73.0
95,96000,12.4322,-31.0
97,98000,12.0951,0.0
99,100000,14.4725,-13.0
101,102000,10.0192,-110.5
103,104000,12.4776,-80.5
105,106000,13.6791,0.0
107,108000,8.5697,-66.5
109,110000,11.7159,0.0
111,112000,11.7798,-38.0
113,114000,13.4593,-30.0
115,116000,12.8748,0.0
117,118000,7.7801,-69.0
119,120000,15.3298,-39.5
121,122000,11.0207,-14.5
123,124000,15.1891,-51.0
125,126000,12.3293,-67.5
127,128000,15.7131,-61.5
129,130000,13.1708,-28.0
131,132000,11.7788,-35.5
133,134000,14.0413,-22.0
135,136000,11.3976,-117.5
137,138000,13.5186,-43.5
139,140000,11.8573,-35.5
141,142000,17.0539,-17.5
143,144000,13.1189,-62.5
145,146000,15.1664,-19.0
147,148000,11.7071,-127.5
149,150000,12.1594,-92.5
151,152000,15.338,-86.5
153,154000,17.1841,-67.0
155,156000,13.054,-108.5
157,158000,16.9874,-102.5
159,160000,12.973,-201.5
161,162000,19.017,-60.5
163,164000,17.6922,-53.0
165,166000,15.6579,-96.0
167,168000,17.8432,-31.0
169,170000,16.2404,-37.0
171,172000,16.4202,-111.0
173,174000,17.6484,-74.5
175,176000,17.5926,-75.5
177,178000,16.2713,-8.5
179,180000,17.3133,-46.5
181,182000,16.2343,-41.0
183,184000,16.2425,-26.5
185,186000,14.1668,-44.5
187,188000,19.3094,-16.0
189,190000,15.0253,-24.5
191,192000,16.5882,-41.0
193,194000,12.8585,-54.5
195,196000,15.9085,-126.0
197,198000,15.5617,-25.0
199,200000,15.0024,-47.5
201,202000,16.2445,-10.5
203,204000,21.0506,-74.5
205,206000,16.522,-27.5
207,208000,17.449,-34.0
209,210000,14.2409,-78.5
211,212000,21.2897,-22.5
213,214000,12.7568,-206.5
215,216000,17.2355,-112.5
217,218000,15.2375,-38.5
219,220000,15.9231,-57.5
221,222000,8.7545,-82.5
223,224000,10.6808,-84.0
225,226000,16.538,-29.0
227,228000,14.4659,0.0
229,230000,18.5311,-27.5
231,232000,17.0729,-39.5
233,234000,14.7261,-106.5
235,236000,17.516,-45.0
237,238000,18.4543,-23.5
239,240000,22.6966,-38.0
241,242000,16.6055,-18.5
243,244000,17.8259,-33.0
245,246000,16.0704,-39.0
247,248000,16.2721,-72.5
249,250000,19.3104,-68.5
251,252000,15.5375,-76.5
253,254000,19.1668,-17.5
255,256000,15.5205,-128.0
257,258000,18.2042,-79.0
259,260000,18.2279,-45.5
261,262000,16.6171,-51.0
263,264000,21.1013,-65.5
265,266000,18.6827,0.0
267,268000,19.413,-66.5
269,270000,16.8704,0.0
271,272000,16.3343,-25.0
273,274000,15.144,-15.0
275,276000,19.6223,-66.0
277,278000,16.5975,0.0
279,280000,17.1058,-99.5
281,282000,18.3646,-46.0
283,284000,17.5807,-92.5
285,286000,15.8274,-46.0
287,288000,15.6317,-89.5
289,290000,13.3247,-59.5
291,292000,20.7649,0.0
293,294000,17.8984,-52.5
295,296000,13.9298,-35.0
297,298000,20.1841,-49.5
299,300000,17.0482,-106.0
301,302000,16.8904,-84.0
303,304000,18.6156,-77.5
305,306000,19.5018,-24.5
307,308000,18.1558,-25.0
309,310000,18.1566,-23.5
311,312000,18.4908,-59.0
313,314000,12.6746,-27.5
315,316000,17.2246,-57.0
317,318000,20.1486,-56.0
319,320000,20.9482,-47.0
321,322000,18.5158,-41.5
323,324000,16.1121,-78.5
325,326000,18.4005,-55.0
327,328000,20.642,-43.5
329,330000,19.2654,-16.0
331,332000,19.4973,-59.5
333,334000,16.9188,-93.0
335,336000,19.4337,-21.5
337,338000,19.8563,-24.0
339,340000,17.0891,-90.5
