episode,timestep,reward,cost
1,2000,0.3852,-20.0
3,4000,0.0591,-148.0
5,6000,-0.2646,0.0
7,8000,-0.7944,0.0
9,10000,0.7382,-73.0
11,12000,-0.1879,0.0
13,14000,0.2375,-119.0
15,16000,-0.6268,-218.5
17,18000,1.256,-100.5
19,20000,0.4998,0.0
21,22000,1.7063,-83.0
23,24000,1.8726,-51.0
25,26000,0.9781,-108.5
27,28000,-0.4408,0.0
29,30000,1.1224,-141.0
31,32000,0.9421,-33.0
33,34000,0.8207,-31.5
35,36000,2.0166,0.0
37,38000,2.1477,-113.5
39,40000,0.8151,0.0
41,42000,-0.0043,0.0
43,44000,1.1753,0.0
45,46000,2.065,-17.0
47,48000,2.1298,0.0
49,50000,2.6967,-295.5
51,52000,0.1517,-10.0
53,54000,1.5373,-67.5
55,56000,3.3617,-142.0
57,58000,0.7799,-33.0
59,60000,3.1664,-22.5
61,62000,0.9771,-65.5
63,64000,1.3532,-17.0
65,66000,-0.2433,0.0
67,68000,3.8758,-61.5
69,70000,2.5396,0.0
71,72000,3.0757,-45.0
73,74000,0.8421,0.0
75,76000,0.6185,-143.0
77,78000,3.2609,-123.0
79,80000,3.2965,-63.5
81,82000,1.9209,0.0
83,84000,3.3052,-293.5
85,86000,1.2476,-80.5
87,88000,0.5596,-164.0
89,90000,3.3223,-162.5
91,92000,1.3687,-298.0
93,94000,3.0314,-139.5
95,96000,4.6271,-135.0
97,98000,2.0272,-380.0
99,100000,-0.0725,-137.5
101,102000,1.3157,-72.0
103,104000,0.8716,0.0
105,106000,2.4395,-6.5
107,108000,1.5162,-220.5
109,110000,6.9004,-121.5
111,112000,0.9164,-29.0
113,114000,4.4684,-109.0
115,116000,2.1945,0.0
117,118000,4.2359,-53.0
119,120000,2.9051,-43.0
121,122000,5.374,-89.0
123,124000,-0.2963,-334.5
125,126000,4.4367,-54.5
127,128000,3.0113,-94.0
129,130000,7.1666,0.0
131,132000,6.605,-104.5
133,134000,5.5211,-99.0
135,136000,8.2544,-69.5
137,138000,0.9222,-31.0
139,140000,2.9989,0.0
141,142000,4.5063,-74.0
143,144000,5.3788,-100.0
145,146000,1.8955,-84.5
147,148000,-1.059,-88.0
149,150000,0.8114,-53.0
151,152000,6.7399,-48.5
153,154000,1.529,-9.5
155,156000,-0.8536,-46.0
157,158000,0.7237,-46.0
159,160000,-1.2579,0.0
161,162000,1.2739,-9.0
163,164000,4.1196,-26.5
165,166000,3.0792,-49.0
167,168000,-1.4464,-155.0
169,170000,-0.1151,-60.0
171,172000,-0.7477,-36.5
173,174000,-0.5778,0.0
175,176000,3.0861,-134.5
177,178000,1.4443,-181.5
179,180000,2.6924,-370.5
181,182000,2.3743,-29.0
183,184000,2.2199,-140.0
185,186000,2.241,-46.5
187,188000,5.0799,-50.5
189,190000,4.126,-3.0
191,192000,4.7023,-147.0
193,194000,5.0528,-48.5
195,196000,3.981,-4.0
197,198000,7.8743,-29.0
199,200000,0.8811,0.0
201,202000,4.6007,0.0
203,204000,1.5722,-29.0
205,206000,-0.0652,-14.0
207,208000,6.8252,-43.5
209,210000,1.9017,-9.0
211,212000,1.433,-211.0
213,214000,3.8414,-89.0
215,216000,-0.472,-34.5
217,218000,0.9047,-123.5
219,220000,2.7446,-8.5
221,222000,-0.8694,0.0
223,224000,2.1818,-138.0
225,226000,-0.6573,-72.0
227,228000,3.5549,-34.0
229,230000,3.2137,0.0
231,232000,0.7663,-371.5
233,234000,2.5323,-36.0
235,236000,3.5938,-54.5
237,238000,3.7325,-161.5
239,240000,4.7723,-224.0
241,242000,4.2704,-69.5
243,244000,2.1628,0.0
245,246000,3.3453,-4.0
247,248000,2.6876,-65.5
249,250000,1.3705,-232.0
251,252000,-0.8049,0.0
253,254000,3.7506,-188.0
255,256000,4.5053,-133.5
257,258000,2.2422,0.0
259,260000,0.979,-205.5
261,262000,-0.4724,-86.5
263,264000,4.2745,-47.5
265,266000,3.183,-3.5
267,268000,3.1719,-59.5
269,270000,5.0339,-15.0
271,272000,3.5003,-191.0
273,274000,3.9853,-86.0
275,276000,2.3825,-11.5
277,278000,4.8127,0.0
279,280000,5.1742,-47.5
281,282000,1.9357,-27.5
283,284000,2.1595,-125.0
285,286000,6.8121,-226.0
287,288000,0.2209,-35.5
289,290000,6.0584,-43.5
291,292000,5.5056,0.0
293,294000,1.0257,-32.0
295,296000,3.7123,0.0
297,298000,4.0656,-15.5
299,300000,8.3553,-27.5
301,302000,3.1714,-48.5
303,304000,2.9264,0.0
305,306000,3.8453,-64.5
307,308000,2.7867,-175.5
309,310000,3.7858,-34.0
311,312000,3.5432,-56.0
313,314000,2.1903,-24.0
315,316000,1.621,-136.0
317,318000,3.3194,-87.0
319,320000,4.4681,0.0
321,322000,5.2605,0.0
323,324000,2.5695,-49.5
325,326000,1.7323,-15.0
327,328000,1.9734,-90.5
329,330000,3.4291,0.0
331,332000,6.8192,0.0
333,334000,1.4336,-141.5
335,336000,1.1247,-9.5
337,338000,8.1228,0.0
339,340000,0.4171,-19.0
